Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom	TotalReflaction	ThetaReflaction	PhiReflaction	TotalRefInterpolation	ThetaRefInterpolation	PhiRefInterpolation	TotalRadomeCombined	ThetaRadomeCombined	PhiRadomeCombined	TotalRadomeCombinedInterpolation	ThetaRadomeCombinedInterpolation	PhiRadomeCombinedInterpolation
0	-53.2490084210367	-26.1438574489878	-48.5989355418135	-26.1686039178983	-27.2268025250092	-100	-27.2268027543411	-31.3421491825439	-57.5193288484836	-31.3526347156521	-24.5059260160512	-48.5989355418135	-24.5228823084676	-26.5384980779801	-48.5001937127627	-26.5662313219461
1	-53.2137198293062	-33.4047871642736	-46.5677651850948	-33.6196622014177	-28.6457171153716	-66.7980963855312	-28.646381744874	-31.1487356650524	-55.9044659288631	-31.1632882019326	-27.1032002117867	-47.0600782060292	-27.1472860333262	-41.0263264819262	-49.8090581237611	-41.642885179397
2	-53.4069807755411	-37.9617848783794	-45.0059574383412	-38.9173729693861	-34.2257809762851	-61.4977155815992	-34.2339279841859	-31.9118559921749	-48.3410746979093	-32.0118217217014	-31.2351961578294	-46.3466539791996	-31.3711585870059	-30.0228437106919	-40.5912901962296	-30.4216167227581
3	-53.803955054945	-28.787854278231	-44.6591143185925	-28.9017056957447	-45.804933862868	-59.6541863302928	-45.9877299139367	-29.8351744526977	-45.8707679277817	-29.9447445252404	-28.6275561776852	-46.3228794687447	-28.702024241976	-23.8103919936952	-39.229417605367	-23.9369218110521
4	-54.3166840131364	-27.3080392050801	-46.2115887010937	-27.3643043682397	-47.3388943048101	-60.6926133189335	-47.5443144022421	-27.9455591358371	-50.1156835581899	-27.9719888633274	-27.0753773404427	-47.8428583254974	-27.111925231849	-21.6780816965268	-44.485452186767	-21.7008949605215
5	-54.7043846703428	-30.0100991409979	-49.7759087940491	-30.0561783770908	-37.5371910637476	-64.2922487309524	-37.5463688376069	-28.5019051642407	-44.9547952150443	-28.6013212426358	-29.4533159309926	-51.2805462558825	-29.4819241554673	-23.3267425416238	-52.3617493029322	-23.3321694807967
6	-54.5194407626342	-33.7887041059408	-51.245894713897	-33.867407685771	-34.3904799705536	-64.630218258276	-34.3945916197023	-31.9102856245616	-42.1616062237046	-32.3408130340616	-29.5766961514083	-51.7357532882588	-29.6031935227782	-27.5744341451323	-45.915416591358	-27.6385384714434
7	-53.4004582232853	-33.3208809623582	-49.5653635688986	-33.4252432804794	-39.2158074840996	-57.8874032044981	-39.2751806236327	-35.4789975249805	-41.3927299388925	-36.7645998681833	-30.8826574697687	-48.4843781770507	-30.9587622476267	-28.8955244352886	-44.4792489458075	-29.0172790323394
8	-51.5291355854551	-37.3815836261163	-46.4737997708388	-37.9528138721219	-49.9022481180125	-52.3408466502953	-53.5710827113953	-37.8652267738425	-42.4885262868074	-39.7020289261456	-38.1948095635824	-44.2461209565945	-39.4340078428116	-33.4724470734935	-46.1883886513348	-33.711270318882
9	-49.3849830268678	-39.0686535255317	-46.2929605400777	-39.9810300134221	-41.6781897205161	-51.4328286030964	-42.1639027534801	-34.356960878082	-51.1825401311847	-34.4481149593626	-43.0324074297262	-43.6394901517075	-51.8777778504325	-30.7726944017588	-48.088360338517	-30.8540295245952
