Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom
0	-53.2490084210367	-26.6208831992359	-46.5428365009394	-26.6653268029241
0.5	-53.2022774663015	-25.0985955768775	-46.9522781641765	-25.1270295123611
1	-53.2137198293062	-25.2688015695106	-52.3730197861019	-25.2772696665415
1.5	-53.2825593918732	-27.5742374776245	-60.8281989273836	-27.576290959322
2	-53.4069807755411	-30.8023297122961	-61.6873103483571	-30.805873465128
2.5	-53.5832092493745	-33.5011855437538	-52.9590728438555	-33.5506698455679
3	-53.803955054945	-35.4686155979738	-45.4855739477019	-35.9243103236008
3.5	-54.0559833852922	-33.7829753064458	-42.7008378192412	-34.3792858489542
4	-54.3166840131364	-31.3547004727724	-42.1674935748235	-31.7306837670255
4.5	-54.550097642631	-30.1744072045892	-43.1049133585005	-30.401411713252
5	-54.7043846703428	-29.7305585660166	-44.3203192007361	-29.8841853517606
5.5	-54.7151210572127	-29.6985630440878	-43.1360293204973	-29.8999674597102
6	-54.5194407626342	-31.4049515331194	-42.4926653218695	-31.7569105050361
6.5	-54.0794289827053	-37.7510680050828	-46.0441402766383	-38.4474212790039
7	-53.4004582232853	-46.4011146356234	-50.606966070289	-48.4749392672864
7.5	-52.5285336595784	-41.2545384907928	-44.5947145029515	-43.95825954204
8	-51.5291355854551	-40.649077974859	-43.9374682145963	-43.398027955497
8.5	-50.4650705740757	-33.6829846540063	-46.295299899219	-33.9277405191241
9	-49.3849830268678	-31.2180289791141	-48.1432427274461	-31.3070942906685
9.5	-48.3218326704297	-30.5684205813646	-54.3458486514526	-30.5866575660935
10	-47.2960320697543	-28.9945983003497	-53.8641093615407	-29.0087739115434
10.5	-46.3193976474539	-27.8711130738696	-46.634312816216	-27.9292386639941
11	-45.3983727569965	-28.1876040939325	-47.1689863646572	-28.2428634887447
11.5	-44.536266140999	-29.5833524331611	-53.9302261289402	-29.5993441939351
12	-43.7346922959002	-30.9010102232247	-53.3540619899648	-30.9257682739888
12.5	-42.9944646342725	-32.0338837111719	-46.1596058205223	-32.2051803257746
13	-42.3161421479429	-35.7419599921551	-43.4055466161715	-36.5577468071439
13.5	-41.7003669679703	-43.9641030729525	-44.7499620146169	-51.7755062102522
14	-41.1480812412937	-49.2082613378396	-50.2675926395787	-55.854691042951
14.5	-40.6606793334379	-36.2320283013267	-45.7600906010656	-36.7453522195838
15	-40.2401316617807	-29.4144120955431	-43.8552258578613	-29.5734984656615
15.5	-39.8891054975581	-28.0825595657128	-48.3455469215583	-28.1236307776168
16	-39.6111031321511	-29.3635021631089	-43.44662100695	-29.5365215123173
16.5	-39.4106374773734	-28.6595311163508	-38.2773390556255	-29.1617248252198
17	-39.293469248621	-29.326030401674	-37.4234305499357	-30.0573317804793
17.5	-39.2669394563183	-31.4634992217595	-38.3302288433076	-32.4638938134137
18	-39.3404489943269	-27.8392238604782	-38.3753313550005	-28.2411195936458
18.5	-39.5261701054406	-27.874660420298	-39.2793195702658	-28.2008934617568
19	-39.8401360373811	-33.0394447729772	-43.6146689088937	-33.4375665460234
19.5	-40.3039751680459	-29.7657663992109	-48.1779837624684	-29.828820226367
20	-40.9478041998982	-27.506378099432	-42.895086659984	-27.6338074124754
20.5	-41.8153492925332	-28.6197208574451	-40.0910976037118	-28.9407920171536
21	-42.9737243819931	-30.2331357168342	-40.1525808283223	-30.6997540998283
21.5	-44.5340701993816	-32.6818841988974	-40.5493028800001	-33.4567174710652
22	-46.7016059002825	-34.2661984782204	-38.0080385625632	-36.6506001539661
22.5	-49.9247406678671	-31.978693393004	-36.2998911524356	-33.9834008325596
23	-55.5119121440626	-29.1283569366702	-36.2650452026731	-30.0614743882649
23.5	-65.2709530385916	-28.7678016680846	-37.2068834128955	-29.4392558468759
24	-54.7678099875781	-32.0520031694507	-39.6032411434882	-32.8913728202741
24.5	-49.142615307759	-29.4677951230014	-43.0083753572432	-29.6643653449963
