Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom	TotalReflaction	ThetaReflaction	PhiReflaction	TotalRefInterpolation	ThetaRefInterpolation	PhiRefInterpolation	TotalRadomeCombined	ThetaRadomeCombined	PhiRadomeCombined	TotalRadomeCombinedInterpolation	ThetaRadomeCombinedInterpolation	PhiRadomeCombinedInterpolation
0	-53.2490084210367	-25.034522565246	-45.48959170802	-25.0738087836947	-36.992570434238	-100	-36.9925726071466	-40.3080960127155	-65.293708303759	-40.3218970888999	-23.2544206087768	-45.48959170802	-23.2804562532986	-23.8735318975685	-44.6642891778543	-23.9098836122662
0.5	-53.2022774663015	-27.681274739616	-44.9412503198667	-27.7636695733355	-37.2595958708265	-82.4376160711705	-37.2597276931258	-41.6945290425799	-61.6374559116435	-41.7387574363321	-25.5386278099782	-44.9959313348233	-25.5881188019277	-26.4436021216501	-43.9219878615806	-26.5219190597155
1	-53.2137198293062	-31.4212325999515	-44.6408871321191	-31.6332525503645	-38.4114869590186	-76.5638657285638	-38.4121515885975	-42.2187246475788	-57.6069513498101	-42.3461683094441	-28.8956315637793	-44.6836106046716	-29.0117170034019	-30.010457268503	-43.1322402943812	-30.2274322148876
1.5	-53.2825593918732	-36.7731272009728	-44.5811393909778	-37.5596590725356	-40.6012336718744	-73.4105695018337	-40.6035085831794	-43.0878512194852	-55.5056446747958	-43.3441562883494	-34.4173419590351	-44.5510587052911	-34.8603104346441	-35.490448360801	-43.1299802204986	-36.311222570778
2	-53.4069807755411	-38.4181773771242	-44.924816280073	-39.5169314083822	-43.9915508636524	-71.2634849002889	-43.9996978726211	-45.1108856124962	-58.2922166145796	-45.3248318275088	-41.9801518147673	-44.7767201594198	-45.2152487849124	-42.1267545520348	-44.6589150070387	-45.6744231755748
2.5	-53.5832092493745	-33.6414191466566	-45.8121282228139	-33.9132082172568	-48.9159456472028	-69.9323031835863	-48.9504499000839	-45.6066938727859	-70.5576964350452	-45.6206055487445	-35.1109793982465	-45.5229295096843	-35.5251039733376	-35.1627724039723	-46.3057433300224	-35.510098812999
3	-53.803955054945	-30.8706239044167	-47.2742225861225	-30.9711879983941	-55.5707042140002	-69.4199556152641	-55.7535003109018	-47.2259638618998	-64.7014217247651	-47.3043340960154	-31.3127411546413	-46.829750624567	-31.4364076393798	-31.5654523613997	-47.0146523964147	-31.6910933110914
3.5	-54.0559833852922	-29.7934480582357	-49.4362024909307	-29.8408588547133	-60.2767670560934	-69.6049010341858	-60.8158376965132	-50.312308535056	-65.8244635092265	-50.4361153204143	-30.0246959881131	-48.8015567798198	-30.0826378040196	-30.0152417467283	-49.5643841300808	-30.0636913585095
4	-54.3166840131364	-29.8817550624112	-52.6810163653939	-29.9046110757313	-57.104665354219	-70.4583825833804	-57.3100855381079	-49.5856790520933	-59.3824769615417	-50.0664302350636	-30.2359572016791	-51.7488653975355	-30.2667203472834	-30.2004137469635	-56.5561176093669	-30.2104765035108
4.5	-54.550097642631	-31.2367050473143	-57.0608835674269	-31.2480796193055	-51.5481282802567	-72.0069034857518	-51.5873808361176	-48.8430591547087	-56.2705204576871	-49.7092820936021	-31.9965132183291	-55.6476208108717	-32.0152896055557	-32.351064080126	-68.2197057010407	-32.3521886239253
