Угол	TotalAntenna	TotalRadom	ThetaRadom	PhiRadom	TotalReflaction	ThetaReflaction	PhiReflaction	TotalRefInterpolation	ThetaRefInterpolation	PhiRefInterpolation	TotalRadomeCombined	ThetaRadomeCombined	PhiRadomeCombined	TotalRadomeCombinedInterpolation	ThetaRadomeCombinedInterpolation	PhiRadomeCombinedInterpolation
0	-53.2490084210367	-25.0345225678649	-45.4895916603246	-25.0738087867709	-36.992570434238	-100	-36.9925726071466	-43.6153515429592	-71.496295946056	-43.622431715339	-23.2544206103793	-45.4895916603246	-23.2804562551976	-24.1553082936869	-45.1150915186357	-24.1902667897807
0.5	-53.2022774663015	-27.6812747384399	-44.9412503234033	-27.7636695720692	-37.2595958708265	-82.4376160711706	-37.2597276931258	-45.3287414401712	-64.8066989425414	-45.3779962873407	-25.5386278114864	-44.9959313383692	-25.5881188034125	-26.7187263894167	-44.3184402986225	-26.794866652225
1	-53.2137198293062	-31.4212325346853	-44.6408871113571	-31.6332524828717	-38.4114869590186	-76.5638657285638	-38.4121515885975	-46.0272199431451	-59.4340906924834	-46.2300820156528	-28.8956315261129	-44.6836105830294	-29.0117169653013	-30.2715136744534	-43.4499948914593	-30.4856038433291
1.5	-53.2825593918732	-36.7731271831351	-44.5811393719743	-37.5596590549294	-40.6012336718744	-73.4105695018337	-40.6035085831794	-46.6353268759822	-56.5102370155141	-47.1070256970134	-34.4173419478168	-44.5510586863604	-34.860310424254	-35.4851074646858	-43.3930606942586	-36.2520675976315
2	-53.4069807755411	-38.4181772979986	-44.9248162856443	-39.516931304874	-43.9915508636524	-71.2634849002889	-43.9996978726211	-49.1674695885487	-58.7113911187645	-49.6788077947942	-41.9801517675371	-44.7767201657213	-45.2152486784628	-40.4417565749181	-44.9033660062995	-42.3661611238114
2.5	-53.5832092493745	-33.641419088802	-45.8121281991764	-33.9132081571923	-48.9159456472027	-69.9323031835864	-48.9504499000839	-48.951868919225	-67.5779404996511	-49.0118720422742	-35.1109793303724	-45.5229294869564	-35.5251039009466	-34.9112445391451	-46.5362885236331	-35.2207462832817
3	-53.803955054945	-30.8706239087531	-47.2742226282222	-30.9711880018459	-55.5707042140001	-69.4199556152641	-55.7535003109018	-49.2087038248939	-65.6305319513564	-49.3088417933729	-31.3127411603541	-46.8297506647871	-31.4364076440958	-31.6137695320521	-47.2458280471353	-31.7341577443491
3.5	-54.0559833852922	-29.7934480643845	-49.4362024757265	-29.8408588610965	-60.2767670560932	-69.6049010341858	-60.815837696513	-50.9812633736763	-67.0730142736541	-51.089408072561	-30.0246959945784	-48.8015567670191	-30.0826378107437	-30.1604164768704	-49.8663905081001	-30.2071384215735
4	-54.3166840131364	-29.8817550550323	-52.6810163483905	-29.9046110684032	-57.1046653542191	-70.4583825833804	-57.3100855381079	-48.2626170889679	-59.3028679909327	-48.6186065289186	-30.2359571939447	-51.7488653816592	-30.2667203396069	-30.4109181629849	-57.2571062021834	-30.4199051637763
4.5	-54.550097642631	-31.2367050101303	-57.0608836194352	-31.2480795818876	-51.5481282802567	-72.0069034857519	-51.5873808361176	-46.8557995449343	-56.2980833783256	-47.3800063585335	-31.9965131791306	-55.6476208573358	-32.0152895659861	-32.6869469099854	-71.6643253093503	-32.6874965444444
5	-54.7043846703428	-34.177382295235	-60.7102757537774	-34.1870423119248	-47.3029612442687	-74.0580179951464	-47.3121390200666	-46.5794101997312	-57.829118004622	-46.9179668918521	-36.0546910752757	-59.1677158424877	-36.0759501498164	-34.8398915583389	-63.9315359237396	-34.845248139336
5.5	-54.7151210572127	-36.3360501961041	-61.5674841309223	-36.3490906520847	-44.8243787432482	-75.3189910969431	-44.828255931793	-46.2153564128282	-56.2256903205475	-46.6717846228493	-40.3728705296271	-60.8600384000404	-40.4118661511287	-34.1223640357248	-56.437704912297	-34.1479220729768
6	-54.5194407626342	-33.9167110065847	-61.6353963609106	-33.924060936883	-44.1562500679128	-74.3959874209051	-44.1603617179469	-47.9097147276236	-54.678359883353	-48.935882510965	-36.3479399640186	-62.0999368381802	-36.3595054202226	-32.7887955256146	-55.1807017419052	-32.8139056341657
6.5	-54.0794289827053	-32.0489295129981	-65.2775537132688	-32.0509950128215	-45.4480952925176	-71.6518181497466	-45.4585168589118	-50.7865794707153	-59.7726074830227	-51.3729472207937	-33.6552332665036	-68.143986132566	-33.6567784721366	-31.4109997710007	-61.9196716957933	-31.4148644225018
7	-53.4004582232853	-32.2875343367126	-65.9307072765955	-32.2894117543123	-48.9815777510748	-67.6531725165022	-49.0409509037531	-49.4638391654213	-63.7338891690507	-49.6294285428215	-33.4884847729532	-62.2554951312864	-33.4942573783861	-31.6031501634922	-65.4403448542898	-31.6049455361535
7.5	-52.5285336595784	-34.493585767973	-56.1997841215333	-34.5230052226487	-54.9937000280239	-64.2066964023303	-55.5482179686853	-50.2560794547197	-57.1558698421405	-51.2479508756208	-35.2739310257179	-54.4089424781832	-35.3272579806618	-34.4886945718444	-62.4256672311742	-34.4956839166447
8	-51.5291355854551	-37.9894658850036	-52.2880237659623	-38.1539510846463	-59.6680184175512	-62.1066160226208	-63.3368542417788	-59.6290791617214	-63.6379201246947	-61.8280497034875	-38.1635273453621	-51.2261822680696	-38.3835531739086	-38.5670100487053	-54.9239882480372	-38.6686722918072
8.5	-50.4650705740757	-39.1547859774546	-50.9444787029291	-39.4523697669661	-55.0831308518843	-61.2233821136287	-56.2933559418311	-57.3512202543938	-59.402985716151	-61.5933551059842	-38.9595293124336	-50.1563508021713	-39.3024020994375	-38.4844993644486	-48.6206912811054	-38.9272021390276
9	-49.3849830268678	-36.3230076293843	-50.2543419808142	-36.5023096287274	-51.4439596132575	-61.1985980244996	-51.9296727019966	-52.2414724536949	-52.987336493664	-60.2603148792825	-36.3361037726907	-49.4803034618656	-36.5519334367874	-35.8383589018412	-47.4992485111376	-36.1452245630321
9.5	-48.3218326704297	-33.6683357179817	-49.1789106117599	-33.792188204335	-49.9709211171926	-61.8626893566629	-50.2613556746814	-48.7662619806152	-54.4025307494475	-50.1517085065008	-33.7851415895057	-48.4741475594442	-33.9352368093811	-32.5333727797327	-49.7417326278755	-32.6167622332275
10	-47.2960320697543	-31.9883828934248	-48.4886158967483	-32.0867088163566	-49.1225712059641	-63.4006218821053	-49.2878499379645	-43.9767586168854	-66.3163960310534	-44.0021736512871	-32.1814785662943	-47.9157249949473	-32.2990289169114	-30.3246609443317	-49.1006553019808	-30.3826143984839
10.5	-46.3193976474539	-30.9319341017042	-48.8791731961	-31.002171356929	-47.4515858135125	-65.974331393874	-47.5130438999348	-42.9176826898469	-61.1729021101341	-42.9830751823544	-31.1611446867613	-48.3073802789003	-31.2457473467762	-29.5632015125112	-46.9961825350672	-29.6423490810138
11	-45.3983727569965	-30.1733213134624	-50.1767725762932	-30.2169345202341	-45.3179748869445	-68.7032622568448	-45.3379391555951	-45.9725538975271	-57.4652294672971	-46.2919950893449	-30.3319439452049	-49.3606387514267	-30.3866008215956	-29.3627346916026	-47.078843456357	-29.4368441498418
11.5	-44.536266140999	-29.6305510939618	-51.7197054347188	-29.6574797459714	-43.8196985811366	-67.8866976630764	-43.8367569319431	-46.952702734343	-55.4614013018895	-47.6126250751798	-29.6394829081143	-50.5068852266389	-29.6751960874615	-28.6571373157783	-47.3966458326967	-28.7155830026158
12	-43.7346922959002	-29.3354586202847	-52.6127521505939	-29.3559267406557	-43.6316478446744	-64.5464997364767	-43.6669713749947	-45.6625587796483	-53.8736003204902	-46.3733376491609	-29.1674348263394	-51.4411758488913	-29.1932395853839	-28.2838536194319	-47.3685298263752	-28.3378061131161
12.5	-42.9944646342725	-29.3013407579132	-52.4990743456103	-29.3221882063323	-45.0129198695218	-62.3796711659113	-45.0932950092099	-49.5787086881278	-53.1953048701451	-52.0570783505907	-28.9305091462659	-52.211568001342	-28.9509594866777	-28.7910624991137	-47.13358533397	-28.8551439239036
13	-42.3161421479429	-29.8498695341304	-51.8645762013439	-29.877265253605	-48.3470277970708	-61.8420938263563	-48.5457170124592	-50.1763921692657	-51.2084558656665	-56.9229877055517	-29.2763555820263	-52.6801858821908	-29.2962345966355	-29.4631333131132	-45.9883273790455	-29.5608893389922
13.5	-41.7003669679703	-31.7748519352125	-50.9774940545746	-31.8273498861599	-53.8065478463661	-62.4599790006879	-54.4431728234606	-49.7902828331626	-50.149669563785	-60.7909598396778	-31.1765635184875	-52.3203028222437	-31.2100665770874	-31.359678924294	-45.3926895116711	-31.5347471208516
14	-41.1480812412937	-36.4451553059091	-50.2506738749572	-36.6298413298693	-50.2540950035886	-63.7817149968252	-50.451266247488	-46.3090724185134	-49.7830469869226	-48.9004612192562	-36.9478094569023	-51.6104561680353	-37.0988345146687	-37.4255062119401	-44.9242385432232	-38.2761533105348
14.5	-40.6606793334379	-40.3107460737022	-50.3397453354893	-40.7651107596058	-45.2036935181823	-65.8631248949271	-45.2411660860486	-41.2971058821044	-48.4307038620922	-42.2309643592268	-42.6634155320357	-51.7073109763309	-43.2414816615862	-37.1777890767703	-44.3412987274156	-38.10450234902
15	-40.2401316617807	-33.2245859931812	-51.6938480026823	-33.2868111000118	-42.5345618962401	-66.9151999335081	-42.5504295841626	-41.4905414490174	-48.7725756289759	-42.3895324377169	-31.5664264854263	-53.3374517381254	-31.5954086011312	-31.1406350600128	-45.7190820898406	-31.294669764651
15.5	-39.8891054975581	-29.5457047173946	-55.3313451375158	-29.5571808074459	-41.2098366001905	-63.582308818601	-41.2350596519835	-42.6207856675782	-53.5841903723196	-42.983403001663	-27.6376921642506	-58.9229778667602	-27.6409237621036	-27.8775931660605	-50.609507635327	-27.9008073304515
16	-39.6111031321511	-28.3791374789709	-60.3264071564669	-28.3819120513899	-40.8069760869413	-59.4912350339971	-40.8661751739156	-39.5818979773378	-77.1226101731787	-39.5826631357356	-26.5564204380919	-63.9008511306302	-26.5572209748318	-26.2675652031071	-59.1592902470834	-26.2697973532813
16.5	-39.4106374773734	-29.0845040523672	-52.7585738341841	-29.1031812131088	-41.2971301817863	-56.3201521698975	-41.4359347814719	-40.0211146559225	-60.8414941068857	-40.0572182381209	-27.5909460053335	-50.7758122211418	-27.6118554617731	-26.9740802655135	-57.047801827698	-26.9783522113223
17	-39.293469248621	-31.7153652810576	-47.6173428696356	-31.8284037369091	-42.751596190518	-54.2774551594542	-43.0685149867714	-46.2376549615083	-58.683496213734	-46.4922607567579	-30.9616725720287	-45.7171898033139	-31.1094473710284	-30.6596336294866	-49.5961208138448	-30.715470936824
17.5	-39.2669394563183	-36.8614511032128	-44.6318374987858	-37.6554922098876	-44.9941313148864	-53.2462025974871	-45.697654810051	-50.8427935292093	-55.1698585992	-52.8440628189813	-37.6682920714265	-42.8939590377658	-39.2186497092966	-38.1515511195852	-46.2624920149981	-38.8803737528439
18	-39.3404489943269	-42.0017767887577	-42.4749284662508	-51.8640442550502	-46.9737474085916	-52.7920217648038	-48.2927268840352	-49.5563558820559	-55.8753265521367	-50.7106740695915	-40.3774268611851	-40.8891125382448	-49.9185685482545	-43.0250712476082	-44.1206951273383	-49.542600825255
18.5	-39.5261701054406	-38.318912252011	-40.647046724473	-42.1388638928726	-47.1429379895324	-52.6205172722716	-48.5895461461428	-46.7005636709518	-65.53753157672	-46.7577038235518	-36.1349693438361	-39.1942139904448	-39.0968700721961	-36.4368191742919	-40.9622517464587	-38.326042560391
19	-39.8401360373811	-35.7621322848444	-39.3025450349467	-38.3000443477915	-46.4352964872978	-52.9194840430431	-47.540535387043	-43.6267648045107	-58.2491781599921	-43.7792204313709	-34.9122518429516	-37.9679705811148	-37.877603098562	-33.5407998431339	-38.7177323618736	-35.1122339334207
19.5	-40.3039751680459	-35.2526556153582	-38.7191419526409	-37.8501651165905	-46.2418315667141	-53.8609559651465	-47.0668632000856	-43.4227624483208	-55.539542009622	-43.6980574959479	-35.4345006288817	-37.4860343617839	-39.6770192299773	-33.4041589433853	-38.0643528076768	-35.2216635757618
20	-40.9478041998982	-35.7084162047848	-38.9278140837188	-38.5192248337692	-47.1128233020708	-55.3089775982121	-47.8262547318254	-42.7029890672746	-57.3642693398598	-42.8540624864207	-36.2527414699796	-37.783177255019	-41.5252029305471	-33.6666982748117	-38.271131570646	-35.513465417843
20.5	-41.8153492925332	-35.220051060103	-39.834872227889	-37.0613232258127	-50.1727219913658	-57.2845963248315	-51.1118081216857	-44.1415384259053	-56.8654687530412	-44.3799104962971	-35.8325811693344	-38.7945730852972	-38.8917325633389	-33.022384210979	-38.7866817191679	-34.3606809308056
